"Bill of Material for "
"On 2016-03-20 at 11:47:28 PM"

"Comment","Pattern","Quantity","Components"

"0.004R","RESC6533X09N","1","R57",""
"0.01uF","CAPC2012X09N","5","C47, C48, C49, C50, C52",""
"0.068uF","CAP1913","2","C19, C21","Capacitor 0.068uF 1913"
"0.18uF","CAPC2012X09N","1","C51",""
"0.1uF","C1206","1","C1","Regulator Filter Cap"
"0.1uF","CAP1913","1","C20","Capacitor 0.1uF 1913"
"0.1uF","CAPC2012X09N","2","C33, C34",""
"0.22uF","CAP FILM 1UF RADIAL 5MM","2","C22, C23",""
"0.22uF","CAPC1608X09N","4","C28, C29, C30, C31",""
"0.39uF","","1","C18",""
"0.47uF","CAPC1608X09N","1","C57",""
"0.68uF","CAP Radial 5mm","4","C43, C44, C45, C46",""
"1.3K","RESC1608X06N","1","R50",""
"1000pF","CAPC2012X09N","2","C27, C32",""
"100K","RESC1608X06N","10","R10, R11, R16, R17, R26, R27, R31, R32, R38, R39",""
"100R","RESC1608X06N","1","R55",""
"10k","RESC1608X06N","15","R1, R2, R5, R8, R9, R12, R13, R14, R15, R18, R19, R21, R22, R23, R25",""
"10nF","CAPC1608X09N","3","C5, C6, C24","Capacitor 2.2nF 0805"
"10R","RESC2012X06N","4","R42, R43, R44, R45",""
"10uF","C1206","1","C2","1206 Ceramic Capacitor"
"10uH","IND_BOURNS_SRP00","4","L1, L2, L3, L4",""
"13k","RESC1608X06N","2","R28, R33",""
"15K","RESC1608X06N","1","R37",""
"1K","RESC1608X06N","5","R3, R4, R6, R7, R54",""
"1uf","","3","C3, C4, C17",""
"1uF","CAPC2012X09N","5","C26, C53, C54, C58, C59","CAP CER 1uF 0805"
"2.2nF","CAPC1608X09N","10","C7, C8, C9, C10, C11, C12, C13, C14, C15, C16","Capacitor 2.2nF 0603"
"20K","RESC1608X06N","2","R20, R24",""
"2200pF","CAPC1608X09N","1","C56",""
"3.32R","RESC1608X06N","4","R46, R47, R48, R49",""
"3.3uH","BOURNES SRP1770TA","1","L5",""
"30K","RESC1608X06N","1","R36",""
"330pF","CAPC1608X09N","4","C35, C36, C37, C38",""
"35K","RESC1608X06N","2","R34, R35",""
"4.7K","RESC1608X06N","1","R41",""
"41.2K","RESC1608X06N","1","R52",""
"45.3K","RESC1608X06N","1","R51",""
"470uF","NICHICON 8x10 CAP","1","C55",""
"47pF","CAPC2012X09N","1","C25","CAP CER 47pF 0603"
"47uF","","4","C39, C40, C41, C42",""
"47uF","CAP_EEFK_D","3","C60, C61, C62",""
"5.6K","RESC1608X06N","1","R40",""
"64.9K","RESC1608X06N","1","R56",""
"8.45K","RESC1608X06N","1","R53",""
"9K","RESC1608X06N","2","R29, R30",""
"BC127","BC127","1","U1","Bluetooth Module"
"CSD16321Q5_DQH_8","DQH8","1","Q1",""
"LM2937IMP-3.3/NOPB","DSO-G3/C6.4","1","U2",""
"LM3481","VSSOP10","1","U6","IC REG CTRLR MULT TOP 10MSOP"
"MBRD835LT4G","ONSEMI DPAK-3","1","D1","SHOTTKEY 35V 8A"
"OPA134UA/2K5","SOIC127P600X175-8N","1","U5",""
"OPA4134UA","SOIC127P600X175-14N","2","U3, U4","Quad OPAx134 Operational Amplifier"
"TPA3116D2","DAP0032A","1","U5",""
