"LIBRARYREFERENCE","FOOTPRINT1","C","CATEGORY","COMMENT","CONFIGURATION","COPYRIGHT","CURRENT","DATASHEET","DATASHEET URL","DIGIKEY P/N","DIGIKEY PART NUMBER","DIGIKEYPARTNUMBER","FAMILY_NAME","FOOTPRINT","GENERIC_PART_NUMBER","INDUSTRY_STD_PKG_TYPE","INTERFACE","MANUFACTURER","MANUFACTURER P/N","MANUFACTURER PART NUMBER","MANUFACTURER_PART_NUMBER","MEMORY TYPE","MOUNTING TYPE","NUMBER OF CIRCUITS","OPERATING TEMPERATURE","PACKAGE / CASE","PACKAGE_DESIGNATOR","PACKAGING","PIN_COUNT","POWER","PROD_ID","QUANTITY_AVAILABLE","REFDES","RESISTANCE (OHMS)","SUPPLIER DEVICE PACKAGE","TAPS","TEMPERATURE","TEMPERATURE COEFFICIENT","TOLERANCE","TYPE","VALUE","VENDOR","VOLTAGE","VOLTAGE - SUPPLY","SHEETPART","DESIGNATOR","DESCRIPTION"
"2POS THRU HOLE 2.54MM","070543-0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","J?",""
"3.5mm Audio Jack","70543-0002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","J?",""
"6POS THRU HOLE 2.54MM","90147-1106","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","J?",""
"AD5282BRUZ20","TSSOP-16","Copyright (C) 2015 Accelerated Designs. All rights reserved","","*","","Copyright (C) 2015 Accelerated Designs. All rights reserved","","http://www.analog.com/static/imported-files/data_sheets/AD5280_5282.pdf","","","","AD5282BRUZ20-ND","","","","","I²C (Device Address)","","","","AD5282BRUZ20","Volatile","Surface Mount","2","-40°C ~ 85°C","16-TSSOP (0.173", 4.40mm Width)","","Tube","","","","1600","RefDes","20K","16-TSSOP","256","","30 ppm/°C Typical","","Type","Value","Analog Devices Inc","","4.5 V ~ 16.5 V, ±4.5 V ~ 5.5 V","*","?","Imported"
"ATMEGA328P_TQFP","TQFP32-08","","","ATMEGA328P_TQFP","","","","","","","","","","","","","","","","","","","","","","","","","","","IC-09069","","","","","","","","","","","","","","*","U?",""
"BC127","BC127","","","BC127","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"BC127_1","BC127","","","BC127","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"CAP 0.22uF Radial 5mm","CAP Radial 5mm","","","=Value","","","","","","","495-4985-1-ND","","","","","","","EPCOS (TDK)","","","","","","","","","","","","","","","","","","","","","","","0.22uF","","100V","","*","C?",""
"CAP 0.39uF Radial 5mm","CAP Radial 5mm","","","=Value","","","","","","","495-4846-1-ND","","","","","","","EPCOS (TDK)","B32529C105J","","","","","","","","","","","","","","","","","","","","","","0.39uF","","63V","","*","C?",""
"CAP 0.68uF Radial 5mm","CAP Radial 5mm","","","=Value","","","","","","","495-1114-ND","","","","","","","EPCOS (TDK)","","","","","","","","","","","","","","","","","","","","","","","0.68uF","","63V","","*","C?",""
